Interval (ms),Successful Measurements,% Successful Operations,Test
-500,60,100,1
-490,61,100,1
-480,62,100,1
-470,63,100,1
-460,65,100,1
-450,66,100,1
-440,68,100,1
-430,69,100,1
-420,71,100,1
-410,72,98.6,1
-400,74,98.7,1
-390,76,100,1
-380,78,100,1
-370,80,98.8,1
-360,82,98.8,1
-350,85,100,1
-340,87,98.9,1
-330,90,100,1
-320,91,97.8,1
-310,95,99,1
-300,98,98,1
-290,101,98.1,1
-280,105,98.1,1
-270,109,98.2,1
-260,113,98.3,1
-250,117,97.5,1
-240,122,97.6,1
-230,127,97.7,1
-220,133,97.8,1
-210,140,98.6,1
-200,146,97.3,1
-190,154,98.1,1
-180,162,97.6,1
-170,171,97.2,1
-160,182,97.3,1
-150,193,96.5,1
-140,208,97.2,1
-130,223,97,1
-120,237,94.8,1
-110,248,91.2,1
-100,264,88,1
-90,302,90.7,1
-80,317,84.5,1
-70,337,78.7,1
-60,386,77.2,1
-50,437,72.8,1
-40,402,53.6,1
-30,436,43.6,1
-20,474,31.6,1
-10,459,15.3,1
-5,157,2.6,1
-3,177,1.8,1
-1,133,0.44,1